Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
29.0,393536603.0,6.0,82.0,76.0,0.141,0.329,0.589,0.73,0.27
29.0,437977723.0,6.0,88.0,88.0,0.838,0.838,0.0,0.838,0.16200000000000003
29.0,368920847.0,6.0,57.0,57.0,0.534,0.534,0.0,0.534,0.46599999999999997
29.0,331947611.0,6.0,74.0,74.0,0.448,0.448,0.0,0.448,0.552
29.0,371731457.0,6.0,82.0,74.0,0.035,0.169,0.169,0.20400000000000001,0.796
29.0,476400451.0,6.0,68.0,68.0,0.422,0.422,0.0,0.422,0.5780000000000001
29.0,454014943.0,6.0,57.0,57.0,0.874,0.874,0.0,0.874,0.126
29.0,391186819.0,6.0,51.0,51.0,0.73,0.73,0.0,0.73,0.27
29.0,427425433.0,6.0,64.0,64.0,0.345,0.345,0.0,0.345,0.655
29.0,460136869.0,6.0,55.0,55.0,0.29,0.29,0.0,0.29,0.71
30.0,801590117.0,6.0,114.0,114.0,0.318,0.318,0.0,0.318,0.6819999999999999
30.0,997342039.0,6.0,51.0,51.0,0.259,0.259,0.0,0.259,0.741
30.0,884756057.0,6.0,77.0,77.0,0.294,0.294,0.0,0.294,0.706
30.0,1071860899.0,6.0,79.0,64.0,0.103,0.152,0.251,0.354,0.646
30.0,953692879.0,6.0,38.0,38.0,0.77,0.77,0.0,0.77,0.22999999999999998
30.0,752330191.0,6.0,60.0,60.0,0.212,0.212,0.0,0.212,0.788
30.0,692216617.0,6.0,57.0,53.0,0.335,0.261,0.261,0.5960000000000001,0.4039999999999999
30.0,949166063.0,6.0,57.0,57.0,0.643,0.643,0.0,0.643,0.357
30.0,955365317.0,6.0,111.0,93.0,0.354,0.197,0.355,0.709,0.29100000000000004
30.0,972348829.0,6.0,59.0,59.0,0.302,0.302,0.0,0.302,0.698
31.0,1847270389.0,6.0,78.0,78.0,0.243,0.243,0.0,0.243,0.757
31.0,1907666401.0,6.0,66.0,66.0,0.277,0.277,0.0,0.277,0.723
31.0,1959195479.0,6.0,89.0,89.0,0.637,0.637,0.0,0.637,0.363
31.0,1904146667.0,6.0,69.0,69.0,0.731,0.731,0.0,0.731,0.269
31.0,2043054539.0,6.0,87.0,87.0,0.685,0.685,0.0,0.685,0.31499999999999995
31.0,1245078127.0,6.0,68.0,66.0,0.326,0.261,0.261,0.587,0.41300000000000003
31.0,1665080741.0,6.0,76.0,76.0,0.064,0.064,0.0,0.064,0.9359999999999999
31.0,1990483667.0,6.0,73.0,68.0,0.193,0.413,0.6799999999999999,0.873,0.127
31.0,1224912727.0,6.0,87.0,85.0,0.47,0.129,0.237,0.707,0.29300000000000004
31.0,1937569297.0,6.0,85.0,85.0,0.331,0.331,0.0,0.331,0.669
32.0,4180771813.0,6.0,79.0,79.0,0.211,0.211,0.0,0.211,0.789
32.0,2988117043.0,6.0,97.0,86.0,0.219,0.288,0.288,0.507,0.493
32.0,4158539629.0,6.0,102.0,102.0,0.683,0.683,0.0,0.683,0.31699999999999995
32.0,3381969439.0,6.0,62.0,62.0,0.795,0.795,0.0,0.795,0.20499999999999996
32.0,2656546787.0,6.0,74.0,70.0,0.67,0.054,0.054,0.7240000000000001,0.2759999999999999
32.0,4267265017.0,6.0,82.0,82.0,0.261,0.261,0.0,0.261,0.739
32.0,4044397151.0,6.0,71.0,71.0,0.571,0.571,0.0,0.571,0.42900000000000005
32.0,4141908703.0,6.0,78.0,75.0,0.512,0.302,0.302,0.8140000000000001,0.18599999999999994
32.0,3708986753.0,6.0,98.0,98.0,0.044,0.044,0.0,0.044,0.956
32.0,3895257677.0,6.0,85.0,85.0,0.635,0.635,0.0,0.635,0.365
33.0,4702026253.0,6.0,78.0,77.0,0.453,0.362,0.362,0.815,0.18500000000000005
33.0,5205375767.0,6.0,91.0,91.0,0.663,0.663,0.0,0.663,0.33699999999999997
33.0,6587040727.0,6.0,105.0,105.0,0.8160000000000001,0.8160000000000001,0.0,0.8160000000000001,0.18399999999999994
33.0,6320927257.0,6.0,80.0,80.0,0.598,0.598,0.0,0.598,0.402
33.0,8399979491.0,7.0,61.0,61.0,0.53,0.53,0.0,0.53,0.47
33.0,7371694987.0,7.0,67.0,67.0,0.296,0.296,0.0,0.296,0.704
33.0,5555621993.0,6.0,75.0,75.0,0.486,0.486,0.0,0.486,0.514
33.0,6175576151.0,6.0,123.0,118.0,0.278,0.056,0.321,0.599,0.401
